x,20_WW_BL_TP1,20_WW_BL_TP3,20_WW_BL_TP5,10_WW_BL_TP1,10_WW_BL_TP3,10_WW_BL_TP5,5_WW_BL_TP1,5_WW_BL_TP3,5_WW_BL_TP5,20_D_BL_TP1,20_D_BL_TP3,20_D_BL_TP5,10_D_BL_TP1,10_D_BL_TP3,10_D_BL_TP5,5_D_BL_TP1,5_D_BL_TP3,5_D_BL_TP5,Gap1,20_WW_ML_TP1,20_WW_ML_TP3,20_WW_ML_TP5,10_WW_ML_TP1,10_WW_ML_TP3,10_WW_ML_TP5,5_WW_ML_TP1,5_WW_ML_TP3,5_WW_ML_TP5,20_D_ML_TP1,20_D_ML_TP3,20_D_ML_TP5,10_D_ML_TP1,10_D_ML_TP3,10_D_ML_TP5,5_D_ML_TP1,5_D_ML_TP3,5_D_ML_TP5,Gap2,20_WW_TL_TP1,20_WW_TL_TP3,20_WW_TL_TP5,10_WW_TL_TP1,10_WW_TL_TP3,10_WW_TL_TP5,5_WW_TL_TP1,5_WW_TL_TP3,5_WW_TL_TP5,20_D_TL_TP1,20_D_TL_TP3,20_D_TL_TP5,10_D_TL_TP1,10_D_TL_TP3,10_D_TL_TP5,5_D_TL_TP1,5_D_TL_TP3,5_D_TL_TP5
Zm00001d009372,288.71,688.13,849.99,1084.830199,1123.550573,787.6799135,314.1138808,1169.153968,1050.073861,202.81,287.85,285.48,168.4751135,287.9858148,593.7510168,191.0472137,195.9240808,443.5538309,0,558.65,787.87,660.84,836.2212606,1111.712019,779.3056355,541.064667,1327.452865,1038.535656,277.63,339.25,315.2,260.0977816,408.1707223,475.5102285,250.3257289,323.3239276,442.3353804,0,918.44,1145.96,840.3,936.1272797,1571.961017,1175.794463,1030.211475,1976.087071,1150.300448,476.35,551.89,380.09,459.9495901,857.903929,414.1821447,546.3161495,505.3242418,513.4802006
Zm00001d011710,306.96,381.56,685.29,405.1827442,642.6855754,647.3298677,279.6531241,551.0629108,711.4308502,247.78,312.3,465.21,265.5269429,229.4954434,588.7077296,235.6247102,255.8956913,712.5704181,0,434.96,336.54,552.42,445.7503818,623.091431,743.4314022,547.9667285,594.4913414,954.1716855,319.89,377.06,478.55,280.458192,355.917995,560.8000316,310.8998428,354.7199102,743.7139737,0,444.47,505.92,513.27,322.4014528,722.698606,792.059866,478.6302194,771.0076846,686.9083991,468.02,506.39,293.24,426.649597,417.8454893,328.9762184,534.7171247,409.9690421,596.9918329
Zm00001d013392,413.16,363.1,683.8,506.530995,582.0232698,998.8984891,503.52105,370.0004756,739.9898344,352.68,333.74,589.75,492.6370665,343.8719804,566.9953204,434.4310794,384.146301,416.0369614,0,565.89,447.08,689.43,477.5135559,723.6700893,1002.993083,481.4635514,599.7155429,815.4218722,574.69,568.28,655.24,518.0444245,723.5699839,613.5593878,804.8577512,557.7268121,534.3273133,0,735.19,485.39,648.29,619.6640262,841.4591467,947.4031856,556.964648,974.2696182,682.0838141,573.11,630.43,462.47,607.2795477,744.5456994,460.7333997,1010.517371,571.1505165,532.9925856
Zm00001d006182,292.93,295.65,424.77,394.7048578,463.2596089,497.7049809,260.9279713,300.8808628,622.3830237,308.79,295.45,356.63,342.243666,360.5438667,477.9354079,307.8261939,388.9404082,379.7561978,0,619.73,579.23,598.36,511.4302745,795.3580133,845.3026077,523.5423646,631.7471258,833.9937883,527.39,670.97,597.34,564.7535244,669.1098353,687.166118,707.432208,633.3053982,640.5521317,0,701.01,455.85,553.25,635.0764281,549.7730025,714.9644451,658.616514,626.6932417,614.7499976,577.15,573.12,447.95,613.5449673,611.8019602,539.161998,721.8031798,573.7017997,581.0283243
Zm00001d011185,247.6,344.75,357.78,466.6007136,449.9736759,493.617971,300.4400943,351.7500459,562.7347562,234.63,290.74,265.58,236.760974,242.5314008,364.9716963,201.2176862,222.0415132,413.578912,0,508.77,662.43,538.64,672.8572963,942.0528467,730.1973063,601.1840844,687.6683482,886.9424431,469.68,461.96,485.86,486.8700074,542.7053905,638.0622589,614.741002,437.568968,575.7916704,0,725.73,721.82,534.24,607.2536016,1035.91528,697.3654042,843.0002829,911.0841962,704.3511546,629.03,590.23,431.25,525.4540029,811.8692444,460.7137902,640.7193644,509.0703999,523.4947588
Zm00001d003504,729.02,699.22,415.61,583.4122698,467.7190851,387.0290652,471.2829923,264.1989139,281.0270506,299.43,216.66,736.76,241.2732875,149.9131936,514.9856924,261.9505974,190.8615911,373.6944853,0,876.05,885.4,413.36,1237.004178,859.3424144,502.4859456,947.5781642,391.6147375,415.4261517,355.27,187.71,369.51,320.657371,120.9564319,339.6257852,362.6366567,183.6173402,182.9717081,0,1112.03,921.06,674.18,1217.901162,987.9193838,687.8942331,1116.758929,572.2348808,523.8987058,583.87,406.02,497.7,572.6418001,262.870755,493.1855497,709.347049,283.3035315,522.5509569
Zm00001d049092,787.86,612.69,653.97,653.5596127,703.3861399,613.0113834,691.1831284,533.9237385,607.8011986,490.29,429,571.37,467.0388787,470.3342662,456.0841397,492.4368977,428.5171433,463.2713812,0,1131.83,631.05,501.06,786.495064,639.5711261,435.6906777,827.9853978,399.2015797,508.7079599,549.48,378.41,539.95,441.4387486,368.0950515,477.2540855,420.5503117,316.4026235,331.2934335,0,908.93,531.4,358.69,701.4791746,523.4569297,296.2071279,749.6939814,437.8794194,338.8843595,436.7,360.79,327.81,348.4861552,311.9733143,290.2561822,313.9860671,262.0296934,257.1458068
Zm00001d047479,686.49,762.94,678.47,578.9543691,604.119886,767.463576,576.2935053,453.2304787,591.9743954,408.71,352.16,436.95,413.6215692,285.9142734,413.2840492,413.7177555,257.5024064,429.7169542,0,1020.38,1049.53,699.55,765.4581442,963.4142592,752.6373013,924.945389,658.6430619,656.1950822,494.7,499,384.01,472.9126576,375.308228,379.8525367,473.8733173,350.7104639,421.6630427,0,1062.48,935.7,599.7,719.6368387,938.5741821,610.8208004,980.3402585,701.5364484,671.4905236,488.11,515.94,295.27,513.042167,457.4545993,365.3722296,525.3960222,433.2487494,297.998393
Zm00001d044744,261.06,404.19,1838.19,81.28522084,198.4074769,1890.616988,267.119899,177.2687875,1251.35645,173.79,385.58,2395.72,230.3090408,462.7917175,1967.063617,245.4228039,312.2115131,1845.308097,0,62.48,104.78,462.12,33.04462181,54.42188869,489.8558025,49.5688675,46.36590102,285.0651322,92.54,125.45,781.34,96.14278255,104.4128486,732.6073821,78.20278974,104.2821637,665.589764,0,54.85,67.36,63.55,39.13430548,44.25081002,149.5706752,26.53354644,50.51432471,54.04328042,38.32,54.45,303.06,95.0667323,27.54777277,185.5728,36.00533655,51.92043473,115.5966762
Zm00001d013133,1725.47,819.99,352.72,266.7684385,866.3635423,317.8304664,2775.519785,589.39641,175.5080454,1138.02,776.65,152.94,1016.166304,397.2572379,113.6240816,1026.141085,422.1639733,248.4052297,0,590.85,334.74,217.22,270.41477,342.2501587,167.169953,1106.505712,262.5389712,191.3292519,633.03,374.4,93.45,422.5907373,286.9508046,75.89515115,313.1174091,268.9763652,117.68632,0,360.47,99,68.9,194.9924097,72.53353084,89.96777263,276.8164591,211.2157289,95.90695275,122.8,165.63,35.73,102.3778288,64.82094359,29.69573971,120.8895159,79.78960119,80.03536746
Zm00001d051485,2510.66,608.41,500.87,573.2449204,693.8870039,285.6065617,2033.901707,566.6184423,323.4281817,1626.62,603.92,406.54,1524.821464,933.83786,234.4344249,1275.569436,1302.59373,525.1108646,0,598.39,219.73,208.79,234.2599217,253.2054623,207.7252345,1121.752969,262.4477788,266.4557304,569.74,279.8,200.2,601.6211795,224.2386737,185.1809575,342.9031094,409.9652915,220.5961746,0,257.14,114.15,186.56,221.1487964,141.9389633,152.264348,213.9432481,219.4952161,149.2017249,192.44,147.11,142.92,168.8133828,139.1777986,137.1219875,199.3442528,175.5089648,193.2319644
Zm00001d028950,1479.61,566.49,468.04,391.0778603,719.7004067,433.0732098,2506.34958,753.2985254,404.0104203,1730.97,1192.06,355.32,1943.069616,702.315682,310.4089034,1219.575724,997.184129,571.8317335,0,877.24,252.87,279.33,398.0692914,418.3450163,293.049682,947.8990084,423.2735351,338.9969027,888.08,598.7,305.86,621.1491334,489.8197165,393.2965255,526.0220307,537.1181449,368.882503,0,546.28,158.82,169.84,300.9413301,216.7762913,201.931996,339.3755399,415.1643085,195.6548951,449.31,306.19,187.88,323.3653938,251.9006886,157.2312253,535.0267123,271.2677618,299.8219431
Zm00001d041418,868.46,489.89,539.03,484.1926667,668.1006172,358.7306478,1221.413262,629.4711066,484.9227886,770.33,437.71,245.97,669.7214518,433.2388186,191.8341074,579.3939215,572.3218217,389.5400853,0,450.44,223.4,339.35,245.6419454,283.388816,276.8707744,491.3288072,405.5950088,284.1518128,306.28,309.13,219.81,286.2228745,291.6243025,306.6830085,263.0155237,288.6702065,272.2090007,0,295.43,156.95,187.48,148.5892803,112.2729736,211.8033837,176.1388636,335.2032531,186.9525729,184.16,308.34,192.21,153.3988067,183.1546601,172.8367214,141.9190018,165.4073242,270.3248835
Zm00001d020883,609.63,311.58,324.09,329.4439454,315.4741603,342.3879041,966.7241298,373.5344031,319.0828029,819.9,692.67,394.92,972.5932779,452.4539286,332.9351692,742.6551774,618.6444189,461.4536349,0,373.03,279.59,281.35,292.1256239,246.8740978,301.1053175,396.3462473,309.4546294,286.1486296,592.18,540.24,410.53,498.060848,458.0071403,431.4808342,484.9819941,519.3345209,446.8217887,0,329.14,262.74,303.91,305.1265022,242.3936544,267.5119636,283.5955396,315.3490642,312.6933074,449.6,430.59,387.08,415.3213141,385.3795498,336.6594228,468.4705583,340.9748846,398.6266074
Zm00001d029243,1130.77,732.29,747.48,367.5549534,725.4164931,824.5289274,1408.213227,1013.726726,865.7587257,1130.62,1644.81,860.44,1299.003331,935.8701988,766.0155522,845.7695755,945.1532527,1220.20665,0,517.61,160.28,222,86.50672317,188.0098554,238.4123523,547.7416605,318.8195158,228.5191953,656.24,881.58,398.56,504.4777634,533.8441376,328.6458139,438.6956957,484.5366764,640.907057,0,172.01,16.99,43.35,37.13205038,23.0676907,50.30134373,78.91499479,198.5920201,44.94435896,199.12,203.87,110.81,189.3789577,113.5689473,47.88907881,176.5736081,119.4344204,160.984643
Zm00001d044037,961.98,435.74,323.92,301.9076137,471.4703829,227.7538526,1783.547457,701.8163778,373.2370979,1791.1,1133.15,616.25,1985.659911,747.6294612,253.6819841,1410.223074,1066.837353,753.8150247,0,200.31,136.75,124.34,146.5140433,140.4162867,85.73691297,390.589706,192.43632,110.6392599,455.92,245.7,143.75,399.751625,259.1882818,164.7522953,286.2603794,299.2439546,241.7687564,0,161.29,101.96,112.89,126.7629211,103.8286649,95.15147489,140.7501749,185.6346429,84.31434066,195.73,230.39,115.68,195.0430084,205.7858594,112.0257121,225.3076866,162.8626132,180.4671342
Zm00001d052011,1339.49,598.67,373.1,257.3667915,378.2878128,236.1033443,1557.88609,437.0018189,246.9139888,1319.14,754.41,398.05,1050.642935,555.9307628,235.9907169,848.9996133,1021.923866,531.3925542,0,375.65,184.92,104.71,137.8933524,108.0265667,92.23914431,314.5101268,105.2558743,99.17187695,198.1,162.27,68.39,194.6843932,138.9636845,53.9593651,105.7979741,250.0348815,176.7246412,0,168.47,150.79,89.47,141.9845995,96.79168183,98.78823242,61.31616472,86.30772028,98.10650333,100.83,103.03,82.29,89.58614273,73.3425422,66.77723991,61.3534618,114.8186723,93.89347344
Zm00001d022449,1254.81,1018.79,768.26,895.2516772,992.9153596,673.2314615,1857.232535,1178.687083,907.2126074,1895.65,1916.57,993.31,1928.745713,1589.350046,1090.85391,1606.858632,2173.632427,1484.078921,0,1011.83,767.95,665.85,702.070051,949.1763506,940.2044182,1139.246332,1000.974053,758.0393125,1681.39,1584.74,1285.23,1485.937713,1747.647589,1302.095445,1386.077196,1831.639535,1625.453109,0,918.27,810.98,869.38,713.2432411,944.150418,1149.434634,815.2609718,1102.34237,895.0816531,1358.97,1842.38,1447.66,1331.285524,1990.4512,1088.235975,1454.019477,1910.672947,1973.787206
Zm00001d013534,2573.53,1821.22,1188.15,1485.002961,1825.139949,1205.87219,3152.213306,2122.188594,1134.476231,2471.12,1950.97,1018.83,2412.680644,1772.895748,967.2148125,2318.51746,2126.678714,1105.952322,0,2330.55,1365.34,1244.58,1356.579377,1285.960624,988.8714611,2828.57335,1598.844442,1131.166079,1729.74,1526.28,1218.8,1764.035386,1551.194309,1241.587893,1184.962493,1728.893579,1245.736969,0,1327.4,955.42,1044.57,1028.362998,887.6567917,834.95157,1315.401213,1188.491719,973.787437,1392.05,1173.66,1220.28,1250.455034,1182.969345,1111.249165,1183.877405,1423.570188,1130.795832
Zm00001d037361,2511.23,1089.21,859.3,825.9754445,1240.948571,913.9690324,3875.442384,1114.058967,811.3588651,3288.87,2344.78,1013.5,3005.433637,1538.952932,765.0692233,2242.2227,2455.598797,1293.283991,0,1785.57,676.08,756.18,986.6460676,882.1487,954.9148686,1920.463444,933.1375066,951.4300022,1854.63,1615.43,938.76,1529.658515,1507.859848,1014.453385,1505.827714,1645.887288,1140.353352,0,1578.56,545.79,774.04,1251.941601,695.5536335,952.9331829,1186.249863,980.2162783,910.230262,1565.83,1081.02,795.77,1510.216717,997.3285344,779.8261439,2079.457995,1211.307226,1215.823539
Zm00001d052556,1682.78,935.26,703.67,761.7628463,716.2839664,621.8385091,2271.7341,1190.315533,639.4236709,2558.31,1540.85,931.17,2210.930673,1463.922596,724.5824879,2051.461164,1688.688369,886.216684,0,1041.58,620.88,708.3,626.5002209,441.613462,494.2079042,1018.844885,810.5034718,569.4159833,1079.44,1208.7,847.49,1268.050143,1074.953634,862.1917636,1002.851069,1208.001906,894.491763,0,732.48,521.86,616.46,838.3982267,441.2210582,550.4863041,594.7435284,680.6429973,644.8187869,837.39,834.31,935.51,885.9268963,721.1045318,912.9556846,846.1996642,1033.438046,911.0348835
Zm00001d049694,1871.5,938.1,720.8,766.5505913,853.2781695,813.586339,2724.530672,1224.223059,700.20916,2130.76,1430.45,680.67,2196.282487,1109.337598,572.1036418,1871.539915,1387.928857,702.2735455,0,1485.12,793.42,903.28,995.1163023,673.699878,780.6221792,1781.247557,1169.737958,777.5943443,1336.58,1145.6,749.79,1363.446602,1023.118683,807.5840513,1008.436255,1201.067493,771.6622796,0,1179.79,667.25,700.1,1028.073287,702.1469793,664.7709446,1038.523203,968.112688,797.9784029,1016.72,808.85,847.87,1020.306292,858.2292871,758.4883495,1179.70353,874.7640669,809.7404536
Zm00001d034338,2091.93,811.35,784.49,617.0039673,882.5565259,515.7047984,2876.805701,1144.798023,608.1834915,2115.84,1574.36,682.02,2295.72572,1168.628208,503.57,1678.797024,1501.101635,980.9626169,0,1113.22,370.64,370.61,425.3930847,415.1389397,336.3871088,1468.392493,574.23826,355.2794824,1183.07,770.71,459.12,1075.826256,709.942627,506.6046491,670.1936679,907.5856833,566.9609193,0,452.62,229.66,234.82,298.7609876,247.5315611,257.4908541,381.4690062,438.9508397,251.5786332,462.9,320.17,339.67,426.4844386,359.1189076,297.7614863,329.909894,406.4961455,371.5637972
Zm00001d008725,2434.72,1459.74,869.02,995.505847,1443.402173,781.9401157,2408.866543,1400.953939,805.9346546,2005.84,1164.8,736.33,1878.611777,1329.180371,645.9245011,1806.379988,1692.520094,823.3265094,0,1549.15,882.79,780.87,787.8789868,869.1518425,630.878613,1765.96393,919.6211786,727.1629244,1057.62,746.58,494.39,986.6876883,818.6674048,465.2923484,705.4121402,1201.536554,579.7070404,0,908.5,628.34,562.99,710.8366048,649.1723768,541.0789999,693.358919,832.229462,588.6062039,581.08,468.44,390.72,469.0411156,470.6624158,404.273906,543.5091971,581.1743992,436.092605
Zm00001d032603,956.65,857.65,1570.67,608.5668594,736.5333296,1547.577616,806.502009,749.9421136,1007.735631,567.08,761,1639.23,702.9815197,588.9105115,1654.772288,675.1932196,599.3441296,1523.250013,0,808.52,849.55,861.86,531.0298764,637.3885814,988.9390977,624.9319145,483.710934,610.5280389,507.15,593.61,970.03,477.635142,475.1116784,873.6281427,548.1097869,410.026862,832.7411825,0,650.07,595.79,554.91,572.2204553,562.0925874,675.2582353,500.4235955,486.3961731,574.5566488,336.67,468.64,552.56,361.1450026,445.2170401,559.1853181,375.8785885,342.4868087,561.9472658
Zm00001d020793,1477.96,1289.18,1528.04,834.1221823,1322.88079,1572.060721,1249.085476,1578.245956,1164.52188,870.52,1042.43,821.21,773.1800677,683.4645998,912.1009787,666.3250933,774.1478665,978.5341335,0,1634.75,926.36,1262.29,596.9686638,982.5216619,1045.139914,1552.433967,1222.572448,989.9227161,1046.76,1191.41,899.14,812.3943089,983.948142,894.493291,623.6521176,978.3352956,994.0507792,0,844.34,407.99,527.51,321.8290458,381.1949676,443.049322,759.5244989,903.2187178,434.9344507,737.49,576.8,436.91,471.6959623,505.9478298,332.7912029,516.0895412,520.6018524,490.0132354
Zm00001d014341,1002.52,665.12,727.09,847.1202735,920.847897,664.8830617,1619.852423,1109.098365,690.75445,980.07,875.04,933.57,1172.533466,787.7746568,604.9561544,1011.679389,720.3775132,1097.217994,0,399.61,301.9,226.33,971.4497919,573.5937287,301.0354951,1093.388408,806.4485666,226.2910297,631.55,305.72,194.85,823.4768424,473.5641002,295.9120353,858.8270625,585.1981751,188.2746355,0,466.98,432.32,363.5,1030.383274,603.4127061,429.4731144,853.9897234,881.5980536,268.7377594,796.91,300.66,271.81,815.6398589,489.2703411,431.1735448,1360.785252,368.2329147,317.5364005
Zm00001d006624,973.67,568.6,556.64,549.8809462,692.9857603,588.0624098,1576.233214,836.1249482,670.7160135,1320.32,1043.03,536.43,1495.801348,862.0707153,612.9900604,1171.022126,1072.165258,801.0966228,0,898.22,450.7,669.61,556.4343425,660.3692925,817.075158,1064.556191,713.0624205,925.9422406,1171.81,1163.31,804.25,1008.969743,1094.646972,1041.438048,1010.620016,1120.407402,1155.477759,0,774.98,461.24,504.64,628.2503663,612.1364986,647.3585315,591.7525376,784.1333578,665.0546682,804.1,796.87,641.82,716.8857124,808.112415,631.476322,977.2319828,805.9484686,992.9834823
Zm00001d008340,433.54,359.72,494.09,400.7787982,345.2544112,361.442491,847.9706137,666.5593161,510.8527409,855.95,743.23,556.59,925.8268614,728.3347024,526.607407,775.2879882,910.1759869,734.0267068,0,389.62,492.03,462.47,524.2740189,692.1336249,492.7862478,701.269882,704.8962914,577.8642229,890.01,827.2,728.87,834.279888,798.8911217,812.9556704,727.4889081,879.3553889,918.2913647,0,491.04,995.89,801.85,667.7459955,1121.104835,990.6283645,688.7482264,900.1748826,1000.703408,883.16,1039.14,1226.96,800.1997901,1219.298788,1227.365843,785.8973746,980.0637282,1316.648196
Zm00001d003966,462.37,166.73,275.58,359.2187295,262.361192,155.4914568,532.5632044,270.1018968,319.6743818,710.83,712.46,231.39,692.4682783,434.5399888,326.2347765,301.629537,745.3237022,294.8572454,0,443.51,624.95,405.1,794.8264945,1515.708092,583.7102763,656.6416401,929.6726793,1253.18395,1364.22,1300.83,544.55,967.8823268,1504.948451,854.7321923,1153.291396,1339.203495,1190.297743,0,711.31,1142.02,706.11,1026.216359,2636.407363,1065.443149,1310.576197,2782.873173,1487.245376,1400.62,2180.98,712.44,955.3921351,2313.78415,864.5492461,1087.927098,1681.046056,1532.85173
Zm00001d019698,469.47,576.58,886.86,759.4700094,719.5613738,961.491585,433.2908984,707.1939611,922.9005199,498.47,594.29,770.06,476.2988942,526.2465681,867.7677394,404.36829,501.5902496,844.6779376,0,805.55,828.23,859.55,1089.719689,1141.515251,951.9614017,724.6271769,894.9538698,996.4930303,719.01,662.68,651.42,650.3686604,706.302458,734.1941328,746.3056766,649.1060741,709.894478,0,1148.51,1536.68,1277.13,1278.121158,1850.700682,1432.997917,1367.472697,1299.262511,1395.146518,982.48,1027.56,1064.42,1146.862084,1039.09525,1158.937466,1156.676467,908.8660613,1012.739294
Zm00001d017320,647.59,632.46,749.93,760.5912826,794.2680756,915.0361133,485.6046223,580.515276,988.3394069,441.63,366.75,561.94,457.9960374,469.389036,726.6814425,482.2654454,481.8097492,506.4204163,0,1151.97,1043.95,1072.83,1031.391241,1282.835336,1432.913616,996.9510992,992.7382112,1457.986027,703.25,764.3,840.06,712.8732638,788.6650876,914.143519,812.0311011,791.1172596,736.2139538,0,1421.06,948,1100.5,1225.996533,1172.007366,1411.511623,1329.878469,1199.826374,1293.695356,950.11,847.13,698.87,985.9105439,794.7490892,768.5347978,1307.958139,844.3524073,809.4842184
Zm00001d006512,639.08,790.27,1018.43,868.7304781,867.0352334,1130.250223,513.2833122,667.6979751,1034.954335,539.07,618.65,1206.47,568.9885637,668.8300308,1071.232077,566.334059,598.0337949,958.4150013,0,942.08,1044.92,1113.7,1227.492951,995.2262351,1144.270734,854.1984956,794.0318217,1157.587395,722.13,778.76,1296.49,671.7464528,750.4716676,1283.039525,795.6553168,760.3043059,900.5860496,0,1086.7,1039.94,1160.63,1142.153621,1113.167137,1211.040717,1062.287562,882.5232298,1127.696925,1025.3,951.53,1058.37,943.9871925,887.4739544,1211.547406,1017.539766,857.9838768,974.9956997
Zm00001d045054,854.1,1237.27,852.71,1138.971808,996.1965145,1004.001232,563.219931,678.4007242,888.1969608,591.56,600.43,866.46,640.5978859,670.0017669,1249.742932,726.7098444,537.026112,726.7139541,0,935.21,1018.11,986.8,1183.813448,847.6462503,989.6279973,657.1787921,849.7653154,852.1508432,667.56,561.53,849.41,634.469552,576.566267,924.8256204,635.092964,689.6778347,470.723851,0,892.73,1020.98,1127.7,1219.661912,585.2083915,1137.694092,733.9186337,748.509052,798.214774,1153.2,860,775.05,1124.630071,722.2886934,679.1295819,1162.653853,655.6434413,477.1031974
Zm00001d029688,234.66,230.45,264.55,562.9430755,282.7663497,272.8967247,237.7588594,205.3784699,369.9512368,248.24,293.66,487.42,358.5974064,261.7160177,599.3893648,348.1916549,368.7440906,593.9726742,0,687,673.78,634.88,1835.987857,1174.072347,1120.194574,896.2917789,711.1422782,1085.650238,685.13,528.77,528.73,577.2729235,650.642931,648.8858395,1006.714552,741.3962254,595.509154,0,1173.24,1379.67,1207.89,2277.608723,1679.447738,1702.220688,1613.815853,1322.969676,1503.749068,1186.84,965.71,900.21,1227.052058,1141.9213,1002.090074,1751.849104,1004.446854,1102.878906
Zm00001d005539,625.66,891.79,1085.2,1189.369893,1134.204761,941.6694314,504.0570822,825.8269677,1018.324318,630.99,710.94,1001,678.3383524,804.456504,1144.657511,659.565622,741.1651351,1159.38716,0,896.19,1287.8,1165.83,1505.163203,1478.278602,1228.303087,1084.144466,1264.290797,1322.389774,1140.9,1015.18,1111.16,1266.197411,1170.078915,1210.029251,1333.807612,1160.271005,1185.126167,0,1270.89,1504.49,1324.27,1654.538102,1758.92238,1532.632656,1546.962419,1585.887979,1260.204402,1493.38,1318.28,1153.85,1731.56583,1489.965579,1286.442594,1501.612238,1388.23444,1213.897489
Zm00001d018277,576.6,797.39,588.43,986.7798347,958.2185036,839.5286069,650.2094002,718.2606759,773.7092314,645.13,715.49,800.23,790.8099967,780.5046683,823.8571891,665.3921864,675.5323942,1234.511031,0,982.22,1052.91,802.34,1488.08393,1224.397209,879.0525885,1389.976937,1150.335103,848.0245174,1274.78,930.15,880.68,1467.313298,1166.507517,804.3579426,1453.651109,968.2302443,812.1797214,0,940.88,1043.59,731.29,1166.170621,1017.257421,879.3268954,1272.426907,1380.932908,696.7360915,1492.93,979.3,782.66,1337.729393,1309.991322,798.8216854,1291.118721,913.6822218,817.3762889
Zm00001d041726,58.19,96.2,488.7,1967.01027,201.4003114,2389.428632,400.8010134,71.61048735,1322.125775,107.26,528.33,1474.85,2694.0247,247.8592858,1827.961108,2418.730661,536.4028898,1332.188247,0,476.4,977.46,1477.62,6625.003483,2031.548723,7488.174244,346.6496131,700.3828212,2360.021203,1167.28,964.62,5299.36,2035.025853,1151.666608,5309.692498,5050.852101,3264.765221,3063.8258,0,639.01,3640.2,5563.81,5897.297042,3514.659691,10634.87838,2166.42043,2607.951397,4966.233241,2457.46,4402.9,8906.11,2332.184527,5588.74895,8298.212087,4630.874425,5061.611909,7343.801204
Zm00001d046746,63.86,275.47,438.11,2062.478893,567.4209706,398.3631895,39.07495097,344.6521091,662.9038248,13.95,31.39,112.12,23.44007063,32.96792225,258.9588318,33.77024672,28.83446794,63.35598137,0,1167.42,5192.26,2090.43,3874.507143,8765.406243,4038.367264,957.3941044,3646.440115,5258.524933,887.88,613.59,288.4,575.0838372,733.4779346,492.9338879,1737.814793,788.7193119,447.2372709,0,5598.73,7747.18,4888.54,4503.970387,15179.82251,8345.892382,5701.626358,7767.564748,8450.211678,2026.53,2695.35,1511.5,1671.652619,3331.316167,2095.55497,1653.699419,2258.919073,2092.813194
Zm00001d003512,3758.89,4529.22,3035.41,4985.112947,4404.082975,3874.305896,1922.331311,2959.811396,3801.185067,1746.97,1718.41,1932.29,1562.412245,1579.817478,2264.212311,1543.310294,1330.218707,2075.832833,0,9314.31,7789.69,5566.71,10812.27665,7734.729689,5726.0038,8234.106888,7675.035564,6099.267979,2922.11,2703.75,3441.5,2885.574087,2782.568391,3294.388314,2687.633044,2366.832365,2755.135841,0,8551.69,7101.22,6084.44,10474.88938,6759.60495,6089.338696,9832.440083,7710.706359,6134.36943,4195.23,3679.77,3653.07,3826.74231,3689.637815,3106.474594,3697.698871,3075.460111,2626.32249
Zm00001d040766,3157.63,3539.08,4098.55,3826.373609,4382.483518,4946.496463,2674.156881,2944.807772,4994.585771,2463.7,2694.65,3928.45,2674.656599,2825.68322,4653.693698,2495.500228,2519.22832,4254.262375,0,5006.88,6055.27,5276.18,6014.870429,7277.47444,7182.750247,4428.215453,5265.910286,6808.288442,3723,3886.72,4919.91,3549.863235,3938.016737,5471.94314,4474.308371,3701.659226,4150.500585,0,6273.27,4929.71,4772.35,5559.220851,6057.274359,6526.637129,6633.817718,5645.641606,5528.181502,5008.84,3898.3,4109.87,4996.127757,4408.453131,4226.08312,5099.831479,3832.623248,3951.81083
Zm00001d021169,2769.58,2854.9,3876.84,3055.53939,3489.506103,3762.76081,2205.018737,2519.246765,4150.313519,1842.67,1768.84,3746.02,1974.000786,2035.262041,4288.905018,1978.886322,1889.885312,3818.267445,0,4783,3969.76,4804.98,4899.956089,5343.242757,5620.687427,4698.98447,3608.382132,5303.55579,3342.65,2920.6,4743.93,3044.004497,2948.561154,5069.37853,3371.206766,3190.601403,3815.476705,0,5618.75,3779.68,5415.06,5481.922934,4724.173822,6009.430026,5013.249394,4156.970049,4917.892147,3580.75,3416.4,4303.35,3528.649545,3473.017242,4597.790016,4117.161169,3181.908168,4068.031024